# Constructed from biom file
#OTU ID	P8-rep4	P5-rep4	P9-rep1	P9-rep5	P9-rep4	P5-rep1	P8-rep2	P8-rep1	P9-rep2	P9-rep3	P8-rep3	P5-rep5	P5-rep2	P5-rep3	P8-rep5
5feb453da2b512528e92bebc14323aa2	116.0	0.0	0.0	0.0	0.0	0.0	176.0	12.0	0.0	1.0	111.0	0.0	0.0	0.0	103.0
3c02b66c76adf5ce41da9adb7a3710d5	114.0	0.0	3.0	23.0	43.0	0.0	270.0	32.0	8.0	11.0	101.0	0.0	0.0	0.0	168.0
169586aeb959934d0b026aada47afb00	114.0	0.0	2.0	12.0	24.0	0.0	203.0	15.0	4.0	16.0	100.0	0.0	0.0	0.0	103.0
acf451609c18b8f156392eb72a9d2e89	107.0	0.0	0.0	0.0	0.0	0.0	121.0	20.0	0.0	0.0	68.0	0.0	0.0	0.0	92.0
f3d8037b557afdfa79276b7593ed9a66	107.0	21.0	0.0	14.0	24.0	7.0	106.0	15.0	4.0	27.0	90.0	15.0	17.0	12.0	72.0
853404b4e8480fb073b8826363b10b22	105.0	3.0	5.0	9.0	12.0	2.0	180.0	24.0	2.0	11.0	126.0	5.0	2.0	0.0	113.0
26a84c5f99207a0d815da1feaf0f8ec8	100.0	19.0	6.0	15.0	35.0	16.0	184.0	25.0	3.0	46.0	140.0	11.0	12.0	9.0	142.0
ad069bb550df40b92e5a018a987d5dce	98.0	0.0	0.0	2.0	1.0	0.0	237.0	16.0	0.0	0.0	137.0	0.0	0.0	0.0	85.0
45f88464bb7012345b239c4ff0f9e4ae	95.0	0.0	0.0	0.0	0.0	1.0	111.0	16.0	0.0	0.0	34.0	0.0	0.0	0.0	82.0
9d8a8d6cc67b40018148dc9d7d3f0e21	95.0	29.0	26.0	51.0	78.0	19.0	145.0	20.0	16.0	104.0	79.0	26.0	33.0	17.0	95.0
ae4d5892cf7cb9c9a34397a6b520174d	94.0	1.0	0.0	0.0	0.0	6.0	101.0	30.0	0.0	0.0	80.0	3.0	7.0	3.0	111.0
c55e343b2b00d1394bda28078978a498	92.0	0.0	0.0	0.0	0.0	0.0	111.0	12.0	0.0	0.0	59.0	0.0	0.0	0.0	82.0
07c00b1451dec73a391658ffe3cd3242	90.0	0.0	0.0	0.0	0.0	0.0	224.0	27.0	0.0	0.0	111.0	0.0	0.0	0.0	127.0
e6576fcd2bbc2ab6974197c5ce3858cd	89.0	0.0	43.0	115.0	132.0	0.0	96.0	6.0	16.0	95.0	110.0	0.0	0.0	0.0	56.0
