sequence,1,2,3,4
098c6a034b241f964c0a4383429c3b54,-3.0482697429351178,1.1272814074607567,-1.513096932178803, p__Acidobacteria
099bfff114477f1fff16e169ba0f91d5,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Actinobacteria
09a1c9e01e3e229c6c778466ea9090bc,4.429552706444174,5.762206930240783,3.097290709225307, p__Acidobacteria
09ae863ad83288f2a848b31006b363eb,-10.270096043107074,-0.8600751068262857,1.5770721395224818, p__Actinobacteria
09dc8e6c292fafc42f2e276a82a48993,-8.122724941004126,-3.280120747298092,0.2972929141100288, p__Planctomycetes
09edab7b272e6d174bdcc992338cb1c8,-8.802417612172261,-3.655641469933802,0.821136257276799, p__Acidobacteria
0a0a96f585642baf1360d77eb9168ae9,-7.121057273263799,-8.762135860368891,-2.44430638269735, p__Proteobacteria
0a0fb9098e192913e240f3cff82c7839,-9.75074207039209,-0.26373792091809967,1.653535590988054, p__Actinobacteria
0a17a89aa54c8036d500f7c9b7b4af7d,-1.565893464507408,-10.840925913307347,-4.269597828763358, p__Verrucomicrobia
0a393ca0790dcee1f42bfec5ddab6980,-1.0309323729856474,4.066999462059323,-0.8806236655015875, p__Verrucomicrobia
0a3b1b068cdd2e2d96fc4e9e89a71541,-2.0851944387760235,16.224150485228407,-4.726705072671261, p__Verrucomicrobia
0a4a4b0e6fc23fbc86ad37cc76dac669,8.659014950469341,-0.12869534854226794,11.66258589733371, p__Acidobacteria
0a56a1ee67d02a0442b8f76e7c11b9b3,-5.47691386594609,-0.6263117528891795,-1.841389040855022, p__Acidobacteria
0a65810bbf00a503208b51a331eef976,29.53650065180572,-0.3407554625489072,-10.898564657621735, p__Acidobacteria
0a68d8daeb35f2ea4270a02437e0f92c,4.562227612564309,-2.757674373404852,-1.2494436140676797, p__Planctomycetes
0a72fe4d503e3d2b9afff5180d1154f8,6.202170152303318,-2.30555192604175,-2.396822142808746, p__Acidobacteria
0a73a3de33977ef93a47aee934e692a0,-0.7796623575225363,-10.144296002061836,-5.790309580861059, p__Acidobacteria
0a923e4d8d62e6497e3ee5e2ddf39f3f,-2.1803213935385584,3.2901431351838197,3.9543914974155525, p__Chloroflexi
0ab2b077cd0bdc8338c0ce5143287df1,-4.365588041293011,13.483356995218896,-4.562382467693555, p__Verrucomicrobia
0ad6d6b18a98ea86d3777214c53e939e,-1.0309323729856474,4.066999462059323,-0.8806236655015875, p__Proteobacteria
0ade2ae1738ae92faf443cc4f3698b25,-10.90059862600594,-1.9174744185918917,-2.1634648680041915, p__Proteobacteria
